,Clustering Coefficient,Global Efficiency,Local Efficiency,Shortest Path Length,Assortativity,Centralization
PIDC,-0.211713518825845,-0.17665038769156127,-0.19111104280436453,1.9009885144609728,0.7700793976597701,-0.426881897698856
GRNBOOST2,-0.3995062983414445,-0.1451314483402984,-0.3786284118080061,1.2234353929175859,0.39281691021976506,-0.412787393350767
PPCOR,-0.5952955071084318,-0.1398686308357191,-0.6712800573832549,1.075343164274705,0.5185500125475077,-0.4894893478686218
SINCERITIES,-0.6100347478499906,-0.0005889820994732786,-0.6855600458303035,0.07213333122236465,0.11576923076749729,0.2791435981048943
