,mESC_ATAC_Day4Day6Union,mESC_chipunion_KDUnion_intersect,mESC_escapechip,mESC_lit,mESC_chipunion,mESC_encodechip,mESC_nishiyama,mESC_KDUnion,mESC_logof,mESC_scATAC_q10
PIDC,0.011996860634600292,0.0,0.002692902468938303,0.21341463414634146,0.004299586820193377,0.0,0.0027028932709709263,0.006418887761689569,0.0019705727798213345,0.017690820517943504
GRNBOOST2,0.012387085451877562,0.01852941176470588,0.015677491601343786,0.2804878048780488,0.015185200721506774,0.004911346041788063,0.008814403911244828,0.012321540561478585,0.011265107724645297,0.01847553343401637
PPCOR,0.009987862480441045,0.007204822820173504,0.004185773701610323,0.14634146341463414,0.004173395130339953,0.0011654041455090318,0.005664324159165159,0.006768969714854845,0.0045651602732527585,0.016847412508924662
SINCERITIES,0.0043519394512772,0.0,0.0007754943776657619,0.0,0.0007617113114129745,0.0,0.0009621552277100705,0.0007729966503478485,0.0005279134221987594,0.00903109276222423
