"","mESC_ATAC_Day4Day6Union","mESC_chipunion_KDUnion_intersect","mESC_escapechip","mESC_lit","mESC_chipunion","mESC_encodechip","mESC_nishiyama","mESC_KDUnion","mESC_logof","mESC_scATAC_q10"
"PIDC",0.00599389924031942,0,0.000292740046838407,0.0808080808080808,0.000502554652818494,0,0.000867526377491208,0.00136104469376494,0.000360726700334492,0.00873024223718668
"GRNBOOST2",0.00648943766302526,0.0152783898927575,0.0132006174482355,0.238578680203046,0.0123549859697617,0.00307974030297986,0.00642438452520516,0.00941765073759335,0.00908464792889705,0.00897883310243235
"PPCOR",0.00490105598569999,0.00558166862514689,0.00239514583776879,0.106060606060606,0.00230347196046404,0.000998834692858332,0.00386815453863466,0.00423042966450853,0.00295140027546403,0.00854863221884498
"SINCERITIES",0,0,0,0,0,0,0,0,0,0
