"","yeastract_c3","hu","mac2","yeast_chipunion","yeast_chipunion_KDUnion_intersect","yeast_KDUnion","yeastract_t2"
"PIDC",0.00215703192407248,0.000792895654931811,0.000924214417744917,0.00486696950032446,0.00168539325842697,0.0010368382532325,0.00587774294670846
"GRNBOOST2",0,0,0.000462320850670365,0.000405580791693705,0.000561797752808989,0.000304952427421322,0.000392003136025088
"PPCOR",0,0.000317158261972724,0.00138632162661738,0.000405580791693705,0.000561797752808989,0.000182971456452793,0
"SINCERITIES",0.000431592576607682,0.00158579130986362,0.00508552935737402,0.00170316301703163,0.000561797752808989,0.000426881326991096,0
