,yeastract_c3,hu,mac2,yeast_chipunion,yeast_chipunion_KDUnion_intersect,yeast_KDUnion,yeastract_t2
PIDC,0.004319654427645789,0.0014272121788772598,0.004166666666666667,0.008616485124370021,0.001687289088863892,0.0015862363492160332,0.01020408163265306
GRNBOOST2,0.0,0.0001585791309863622,0.001388888888888889,0.0010567387416680215,0.0005624296962879641,0.0015252272588615703,0.0003924646781789639
PPCOR,0.0008639308855291577,0.0009513239257967338,0.0023148148148148147,0.0007315883596163225,0.0011248593925759281,0.0006100909035446281,0.0003924646781789639
SINCERITIES,0.0012958963282937365,0.002378686964795433,0.0060185185185185185,0.0020318595578673604,0.001687289088863892,0.001281112737920937,0.0015698587127158557
