,Clustering Coefficient,Global Efficiency,Local Efficiency,Shortest Path Length,Assortativity,Centralization
PIDC,3.5644978079706795,-0.08248568793842,3.4050898281166204,0.07537967502179925,0.4465724913282374,-0.26008751787453627
GRNBOOST2,4.3117286764881735,-0.11886207731972834,5.187648693940033,0.20243391354664614,1.0935822441232619,-0.5057184878081394
PPCOR,15.061173761082985,0.1243947051848894,13.693862871795405,-0.10955053876063153,0.5543842710510662,-0.3581659826716495
SINCERITIES,-0.6733115881954638,0.26061708116583154,-0.5712127057321138,-0.22894803968455857,-0.1827749480804554,1.0966852448653683
