,Clustering Coefficient,Assortativity,In Centralization
GRNBOOST2,0.2462722740041713,0.2336970346238983,0.00949306422725737
SINCERITIES,0.0,,0.020711236464446427
ground truth,0.2683071736967463,0.07001015881236315,0.0029347012839586865
