,PageRank,Centrality,Betweenness,Radiality,Clustering Coefficient,Local Efficiency,Node Degrees
PIDC,0.06329113924050633,0.051643192488262914,0.07865168539325842,0.06329113924050633,0.0752,0.07348242811501597,0.051643192488262914
GRNBOOST2,0.10261194029850747,0.1015843429636533,0.08340971585701192,0.08839779005524862,0.07065217391304347,0.07552320291173795,0.1015843429636533
PPCOR,0.12444046553267682,0.13459801264679314,0.0979020979020979,0.11942959001782531,0.05902192242833052,0.051926298157453935,0.13562386980108498
SINCERITIES,0.085383502170767,0.08069164265129683,0.06990014265335236,0.04022191400832178,0.0273972602739726,0.03591160220994475,0.08069164265129683
