,Clustering Coefficient,Global Efficiency,Local Efficiency,Shortest Path Length,Assortativity,Centralization
PIDC,9.0560437220422,0.18180979997572622,9.921011985500888,-0.14350540014505866,-0.295733413047609,0.5044310022683121
GRNBOOST2,13.617773157058242,0.32023331885042194,19.53503150672108,-0.18324009193442417,0.831393115512262,-0.06811455149591579
PPCOR,26.052337398686387,0.3189865696693412,30.459899300454232,-0.22369164386821824,0.5521815379533385,-0.12151554240174409
SINCERITIES,-0.34261659002675116,0.549942007190671,-0.18232776851357496,-0.3585046354917996,-0.12560749686032308,2.3303042799126517
