,PageRank,Centrality,Betweenness,Radiality,Clustering Coefficient,Local Efficiency,Node Degrees
PIDC,0.1508446355279124,0.16114471292236715,0.16719836866435125,0.13802593406683622,-0.020031353232219426,-0.012659722207975267,0.16114471292236715
GRNBOOST2,0.10549872650607238,0.07889010743964689,0.06986612651526286,0.07402883293622203,0.04070985951399713,0.03970976133478066,0.07889010743964689
PPCOR,0.2162165362046179,0.22761823257412558,0.22268486196876497,0.17076984505036588,-0.018979352434793647,-0.032483897226575284,0.22761823257412558
SINCERITIES,0.024525664713156543,0.06923522248273473,-0.007207287369564828,-0.12392825394398972,-0.019481500303011826,-0.019936829354279633,0.06923522248273473
