"","hESC_chipunion_KDUnion_intersect","hESC_KDUnion","hESC_nishiyama","hESC_chipunion","hESC_escapechip","hESC_logof","hESC_encodechip","hESC_lit"
"PIDC",0.0011839924224485,0.00874243443174176,0.00777759660851133,0.00396860117745585,0.00191288993525603,0.0049338088026965,0.00215473336154075,0.0848214285714286
"GRNBOOST2",0.00461757044754914,0.00650551610858909,0.0050710104518254,0.00516900845042252,0.0035071369009663,0.00520286279586702,0.0032360430950049,0.111607142857143
"PPCOR",0.00011839924224485,0.00188811007940408,0.00172824208432517,0.00129378234455861,0.000416911908966058,0.000659405070092317,0.000995048263758305,0.00892857142857143
"SINCERITIES",0,0.000375040413837698,0.000293489426228172,3.12466800402457e-05,2.45254328738902e-05,7.32797576882679e-05,0,0.0491071428571429
