,hESC_chipunion_KDUnion_intersect,hESC_KDUnion,hESC_nishiyama,hESC_chipunion,hESC_escapechip,hESC_logof,hESC_encodechip,hESC_lit
PIDC,0.004383366899656438,0.01584502476595524,0.013989899815320247,0.007856256813141374,0.003857114779874214,0.009145148669796557,0.004410541350787148,0.17435897435897435
GRNBOOST2,0.006755155250059256,0.009815744090455259,0.0077794302711360255,0.009259723336006415,0.005208333333333333,0.007213772191519538,0.006443309082632889,0.13846153846153847
PPCOR,0.000355534486845224,0.003720749335580476,0.003578723751940518,0.0030447693869112506,0.0009335003807698922,0.001296033647967917,0.0024563275940545884,0.041025641025641026
SINCERITIES,0.000711068973690448,0.002580226904376013,0.00212459959469177,0.00500545023993585,0.001498624213836478,0.001540530627216041,0.004834405901742269,0.09743589743589744
