,PageRank,Out Centrality,Betweenness,Clustering Coefficient,Node In Degrees
GRNBOOST2,3.3340572304558287,4.462828957381313,2.641266117633838,1.0875801660845217,3.3340572304558287
SINCERITIES,1.8004305521119568,6.009678903340736,4.1720084948811715,1.5012012183527546,0.9282088771117291
