,PageRank,Centrality,Betweenness,Radiality,Clustering Coefficient,Local Efficiency,Node Degrees
PIDC,0.9699785231620742,1.0525447790423212,0.8717938228197507,0.9044143976045359,0.8392802007391781,0.986437230155874,1.0525447790423212
GRNBOOST2,0.7745717175788227,0.7907091561429341,0.9371424536900945,0.9207649573114774,0.9699785231620742,1.1024137003679988,0.7745717175788227
PPCOR,0.8717938228197507,0.9044143976045359,0.8068730062267906,0.8068730062267906,0.646415306124872,1.1357979422094258,0.9044143976045359
SINCERITIES,0.9036770583602903,0.8362841929910484,0.9942506131845564,0.7916088775038846,1.1086347416997377,1.2010897611117786,0.8362841929910484
